Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
hfsg,"Holzforschung - International Journal of the Biology, Chemistry, Physics and Technology of Wood",0018-3830,1437-434X,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/hfsg,5253,1947,1,2015,69
hgjb,Hegel-Jahrbuch,0073-1579,2192-5550,AKADEMIE VERLAG,http://www.degruyter.com/view/j/hgjb,891,1999,,2015,
hmbci,Hormone Molecular Biology and Clinical Investigation,1868-1883,1868-1891,Walter de Gruyter,http://www.degruyter.com/view/j/hmbci,294,2010,1,2015,21
hpm,Historisch-Politische Mitteilungen,0943-691X,2194-4040,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/hpm,488,1994,1,2015,22
htmp,High Temperature Materials and Processes,0334-6455,2191-0324,De Gruyter,http://www.degruyter.com/view/j/htmp,1242,1984,6,2015,34
humr,Humor - International Journal of Humor Research,0933-1719,1613-3722,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/humr,896,1988,1,2015,28
hzhz,Historische Zeitschrift,0018-2613,2196-680X,OLDENBOURG WISSENSCHAFTSVERLAG,http://www.degruyter.com/view/j/hzhz,7976,1859,1,2015,300
iabi,International African Bibliography (IAB),0020-5877,1865-9640,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/iabi,1809,1971,1,2015,45
iasl,Internationales Archiv für Sozialgeschichte der deutschen Literatur (IASL),0340-4528,1865-9128,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/iasl,699,1976,1,2015,40
iber,Iberoromania,0019-0993,1865-9039,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/iber,1055,1969,,2015,
ice,International Commentary on Evidence,2194-5691,1554-4567,De Gruyter,http://www.degruyter.com/view/j/ice,105,1998,1,2015,12
icom,i-com,1618-162X,2196-6826,Oldenbourg Wissenschaftsverlag GmbH,http://www.degruyter.com/view/j/icom,519,2001,1,2015,14
ihr,Internationales Handelsrecht,1617-5395,2193-9527,sellier european law publishers,http://www.degruyter.com/view/j/ihr,1078,2001,1,2015,15
ijamh,International Journal of Adolescent Medicine and Health,0334-0139,2191-0278,De Gruyter,http://www.degruyter.com/view/j/ijamh,1216,1985,1,2015,27
ijbe,Internationales Jahrbuch der Erwachsenenbildung,0074-9818,2194-3699,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/ijbe,714,1969,1,2015,38
ijcre,International Journal of Chemical Reactor Engineering,2194-5748,1542-6580,De Gruyter,http://www.degruyter.com/view/j/ijcre,1115,2002,1,2015,13
ijdhd,International Journal on Disability and Human Development,2191-1231,2191-0367,De Gruyter,http://www.degruyter.com/view/j/ijdhd,709,1999,1,2015,14
ijeeps,International Journal of Emerging Electric Power Systems,2194-5756,1553-779X,De Gruyter,http://www.degruyter.com/view/j/ijeeps,467,2004,1,2015,16
ijfe,International Journal of Food Engineering,2194-5764,1556-3758,De Gruyter,http://www.degruyter.com/view/j/ijfe,754,2005,1,2015,11
